drillhole_id,longitude,latitude,year,start_date,locality,company,licence,altitude
STQ 10-60,-51.091858,64.410197,2010,2010-07-06,Storø - Qingaaq,NunaMinerals A/S,2002/07,885.0
MQ-14-070,-51.606811,65.075563,2014,2014-08-24,Nunanguit P-030,North American Nickel Inc.,2011/54,241.0
SAR 12-16,-51.339032,66.522453,2012,2012-06-08,Sarfartoq - ST-1 south,Hudson Resources Inc.,2010/40,543.0
MQ-17-153,-51.548942,65.360534,2017,2017-09-12,Fossilik II P-004,North American Nickel Inc.,2011/54,658.49
KRI D032,-45.841002,60.866639,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,402.65
KRI RC26,-45.840223,60.867829,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,383.24
KRI D024,-45.846982,60.867868,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,343.89
NAL 01-086,-44.844175,60.354965,2001,2001-07-19,Nalunaq,Crew Develoment Corporation,04/97,579.12
SAR 10-32,-51.339009,66.522426,2010,2010-09-05,Sarfartoq - ST1,Hudson Resources Inc.,2002/06,544.0
KRI RC19,-45.839638,60.867294,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,396.43
STQ 05-24,-51.084069,64.41288,2005,2005-08-29,Storø - Qingaaq,NunaMinerals A/S,2002/07,526.0
KRI RC28,-45.838105,60.867816,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,391.65
SEQ-21,-51.545895,64.990785,2003,2003-10-04,Seqi,Crew Gold Corporation,2003/02,141.43
NAL 300-07,-44.837696,60.35567,2004,2004-01-01,Nalunaq,Crew Gold Corporation,2002/03,305.31
CF10-271,-28.23038,83.079534,2010,2010-01-01,Citronen Fjord - XX,Ironbark Zinc Limited,2007/02,81.11
MQ-17-142,-51.527756,65.27892,2017,2017-07-08,P-013SE,North American Nickel Inc.,2011/54,307.5
NAL B111,-44.849874,60.356851,2007,2007-10-09,Nalunaq,Crew Gold Corporation,2002/03,593.41
