longitude,latitude,year,locality
-51.752171,65.627525,2014,Pingo P-149
-46.004082,60.973375,2008,"Ilimausaq, Kvanefjeld"
-49.751638,65.209115,2011,Isua (Isukasia)
-49.746387,65.204889,2011,Isua (Isukasia)
-28.420856,83.099777,2010,Citronen Fjord - Esrum Zone
-45.843429,60.867908,2010,"Ilimausaq, Kringlerne"
-51.335225,66.522066,2012,Sarfartoq - ST-1 south
-51.585611,65.082568,2016,P-094
-44.842016,60.358123,2004,Nalunaq
-51.258147,65.439348,2013,Target P-049 Quagssuk
-51.085886,64.412106,2006,Storø - Qingaaq
-51.554904,64.987708,2003,Seqi
-50.319996,63.010597,2008,Aappaluttoq
-45.995566,60.977472,2008,"Ilimausaq, Kvanefjeld"
-44.837909,60.356221,2006,Nalunaq
-44.853467,60.358469,2006,Nalunaq
-28.310586,83.08493,2010,Citronen Fjord - Beach Zone South
-51.335134,66.523147,2011,Sarfartoq - ST-1
-45.034332,60.223565,2005,Lake 410
-44.953959,61.193577,2010,"Motzfeldt, Aries Prospect"
-44.845112,60.354022,2006,Nalunaq
-28.292713,83.088455,2010,Citronen Fjord - Beach Zone South
-47.434714,60.963177,2012,Isortoq South
-44.840324,60.354378,2001,Nalunaq
-28.307123,83.094213,2009,Citronen Fjord - Beach Zone
-45.868919,60.868177,2007,"Ilimausaq, Kringlerne"
-45.966184,60.985121,2008,"Ilimausaq, Steenstrupsfjeld"
-45.996087,60.976252,2009,"Ilimausaq, Kvanefjeld"
-52.170444,66.560302,2012,White Mountain (Qaqortorssuaq)
-51.246471,66.451781,2011,Sarfartoq - ST-19 east
-44.836923,60.357752,2008,Nalunaq
-45.991436,60.979357,2009,"Ilimausaq, Kvanefjeld"
-51.606719,65.075698,2016,P-030
-45.954456,60.9786,2011,"Ilimausaq, Steenstrupsfjeld"
-51.484271,65.436304,2014,Imiak Hill
-51.081492,64.412968,2005,Storø - Qingaaq
-51.329868,66.523459,2012,Sarfartoq - ST-1
-49.753236,65.209604,2010,Isua (Isukasia)
-49.754943,65.209294,2009,Isua (Isukasia)
-45.842547,60.866576,2010,"Ilimausaq, Kringlerne"
-49.780079,64.004631,2011,Tikiusaaq
-50.980681,71.112141,2006,Black Angel - Glacier Zone
-51.682211,65.373831,2014,Qeqertaasaq
-44.841299,60.356544,2006,Nalunaq
-51.269096,66.544831,2011,Sarfartoq - ST 31
-50.980681,71.112141,2007,Black Angel - Glacier Zone
-44.842139,60.358198,2008,Nalunaq
-45.993772,60.978128,2008,"Ilimausaq, Kvanefjeld"
-46.000365,60.975421,2007,"Ilimausaq, Kvanefjeld"
-53.536585,70.442891,2007,Nuussuaq Peninsular
-44.840712,60.356658,2005,Nalunaq
-47.430894,60.964198,2006,Isortoq North (Discovery Dike)
-44.83275,60.357301,2005,Nalunaq
-51.245072,65.733315,2015,P-289
-45.989141,60.978645,2008,"Ilimausaq, Kvanefjeld"
-45.997793,60.970367,2008,"Ilimausaq, Kvanefjeld"
-51.320329,66.523074,2011,Sarfartoq - ST-1 south
-51.235173,71.093201,2016,Nunngarut Prospect
-51.335397,66.524829,2009,Sarfartoq - ST1
-44.84567,60.356618,2004,Nalunaq
-45.997524,60.973694,2008,"Ilimausaq, Kvanefjeld"
-68.789135,76.286972,2012,Havik East
-45.06877,60.20861,2009,BAY Area Delta
-51.311987,66.529076,2012,Sarfartoq - ST-1 north
-44.839197,60.351919,2005,Nalunaq
-45.947961,60.949142,2008,"Ilimausaq, Valley 1"
-52.165824,66.558514,2012,White Mountain (Qaqortorssuaq)
-51.612713,65.077969,2016,P-030
-51.761273,65.648332,2014,Pingo P-161
-22.6805,71.5939,2012,"Jameson Land, Wegener Halvø"
-49.755845,65.203281,2011,Isua (Isukasia)
-45.991436,60.979366,2011,"Ilimausaq, Kvanefjeld"
-45.835994,60.867353,2010,"Ilimausaq, Kringlerne"
-51.522339,65.079604,2016,P-032
-44.836505,60.352081,2005,Nalunaq
-44.847245,60.359039,2008,Nalunaq
-28.465225,83.10399,2011,Citronen Fjord - Esrum Zone
-50.319949,63.010884,2007,Aappaluttoq
-46.008683,60.969721,2007,"Ilimausaq, Kvanefjeld"
-45.868835,60.867369,2007,"Ilimausaq, Kringlerne"
-24.039576,72.228778,2005,Malmbjerg
-44.846082,60.359407,2008,Nalunaq
-45.99231,60.979027,2007,"Ilimausaq, Kvanefjeld"
-44.836968,60.357752,2008,Nalunaq
-22.36531,71.16182,2014,Inderfjord
-51.679607,65.367947,2014,Qeqertaasaq
-51.08621,64.81399,2009,Qussuk - Swan North Zone
-45.838918,60.865126,2010,"Ilimausaq, Kringlerne"
-51.231767,66.484064,2002,Sarfartoq
-45.999823,60.96918,2008,"Ilimausaq, Kvanefjeld"
-63.378526,80.235323,2011,Cass Fjord - Main
-44.849744,60.357842,2007,Nalunaq
-44.834194,60.353107,2005,Nalunaq
-46.006175,60.966828,2008,"Ilimausaq, Kvanefjeld"
-45.838781,60.864813,2010,"Ilimausaq, Kringlerne"
-51.4752,65.444053,2013,Target P-001 Imiak North
-46.00781,60.967887,2007,"Ilimausaq, Kvanefjeld"
-45.999787,60.974549,2008,"Ilimausaq, Kvanefjeld"
-49.751903,65.205761,2011,Isua (Isukasia)
-37.804543,65.609686,2005,Ammassalik
-46.004472,60.973191,2009,"Ilimausaq, Kvanefjeld"
-44.838883,60.350554,2005,Nalunaq
-28.3083,83.085832,2010,Citronen Fjord - Beach Zone South
-49.761531,65.205535,2011,Isua (Isukasia)
-51.67726,65.37557,2011,Qeqertaasaq
-45.844072,60.867859,2010,"Ilimausaq, Kringlerne"
-51.537506,65.281189,2013,Target P-013
-46.003485,60.968253,2008,"Ilimausaq, Kvanefjeld"
-52.113427,66.573813,2012,White Mountain (Qaqortorssuaq)
-44.831965,60.352964,2005,Nalunaq
-51.474354,65.437613,2017,North of Structure IP
-28.297502,83.091775,2009,Citronen Fjord - Beach Zone
-52.07432,66.584066,2013,White Mountain (Qaqortorssuaq)
-49.754184,65.20543,2011,Isua (Isukasia)
-49.778106,64.000115,2011,Tikiusaaq
-45.996042,60.97408,2007,"Ilimausaq, Kvanefjeld"
-51.335147,66.524614,2010,Sarfartoq - ST1
-44.847535,60.356949,2006,Nalunaq
-44.835671,60.356876,2017,Nalunaq
-44.848543,60.35953,2006,Nalunaq
-44.834119,60.355246,2005,Nalunaq
-51.558483,65.358018,2017,Fossilik II P-058
-45.872342,60.866871,2007,"Ilimausaq, Kringlerne"
-44.837435,60.353307,2005,Nalunaq
-44.945741,61.19097,2011,"Motzfeldt, Aries Prospect"
-51.082196,64.412446,2010,Storø - Qingaaq
-51.931967,66.418629,2008,Sarfartoq
-50.319949,63.010884,2007,Aappaluttoq
-22.6985,71.593,2012,"Jameson Land, Wegener Halvø"
-50.13827,65.09191,2008,Isua (Tangent)
-51.083147,64.413504,2006,Storø - Qingaaq
-50.986105,71.112805,2007,Black Angel - Glacier Zone
-51.555066,64.986605,2003,Seqi
-51.09695,64.80846,2009,Qussuk - Swan North Zone
-51.484319,66.353177,2008,Sarfartoq
-51.484492,66.355159,2008,Sarfartoq
-45.993253,60.972448,2009,"Ilimausaq, Kvanefjeld"
-45.908068,60.940735,2010,"Ilimausaq, Sørensen"
-28.147423,83.075152,2008,Citronen Fjord - Beach Zone
-51.477309,65.445368,2016,P-001
-51.668647,66.358945,2008,Sarfartoq
-24.0434,72.10249,2011,Sortebjerg
-46.002212,60.973001,2009,"Ilimausaq, Kvanefjeld"
-51.808246,65.066912,2013,Target P-097
-44.91573,60.32314,2009,Kirkespirdalen Delta
-44.843807,60.356261,2004,Nalunaq
-31.72344,68.16483,2010,Skaergaard
-28.303344,83.084009,2010,Citronen Fjord - Beach Zone South
-28.137688,83.074692,2010,Citronen Fjord - Discovery Zone
-50.980774,71.101964,2007,Black Angel - Beach
-44.841453,60.349206,2017,Nalunaq
-51.086454,64.413168,2006,Storø - Qingaaq
-51.12085,64.6691,2008,Qussuk - Plateau
-45.991348,60.979346,2008,"Ilimausaq, Kvanefjeld"
-45.870245,60.866696,2007,"Ilimausaq, Kringlerne"
-51.475382,66.335468,2008,Sarfartoq
-28.293658,83.087933,2010,Citronen Fjord - Beach Zone South
-52.074046,66.582221,2013,White Mountain (Qaqortorssuaq)
-24.268011,71.954919,2005,Malmbjerg South Adit
-46.004089,60.973364,2009,"Ilimausaq, Kvanefjeld"
-24.269712,71.958601,2005,Malmbjerg Schuchert Adit
-63.518843,80.239037,2011,Cass Fjord - West Showing
-28.307695,83.0925,2009,Citronen Fjord - Beach Zone
-51.197147,65.725202,2015,P-290
-50.97509,71.112086,2006,Black Angel - Glacier Zone
