name,licence_id,category,status,ownername,grantdate,expirydate,area_km2,liccode,appliccode,.geo
MEL 2023-39,174526,Mineral Exploration Licence (MEL),Active License,Greenx Holdings Greenland,2023-05-09,2027-12-31,494.263,MEL 2023-39,M-MLSA-360,"{""type"":""MultiPolygon"",""coordinates"":[[[[-25.31666667,73.41666667],[-25.03333333,73.41666667],[-25.03333333,73.43333333],[-24.6,73.43333333],[-24.6,73.23333333],[-25.6,73.23333333],[-25.6,73.26666667],[-25.53333333,73.26666667],[-25.53333333,73.3],[-25.45,73.3],[-25.45,73.31666667],[-25.31666667,73.31666667],[-25.31666667,73.41666667]]]]}"
MEL 2024-01,173703,Mineral Exploration Licence (MEL),Active License,Itinnera Solutions ApS,2024-01-01,2028-12-31,197.97,MEL 2024-01,M-358,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.9,65.01666667],[-50.68333333,65.01666667],[-50.68333333,65],[-50.7,65],[-50.7,64.96666667],[-50.75,64.96666667],[-50.8,64.96666667],[-50.8,64.93333333],[-50.9,64.93333333],[-50.9,65.01666667]]],[[[-50.71666667,64.95],[-50.68333333,64.95],[-50.68333333,64.9],[-50.63333333,64.9],[-50.63333333,64.86666667],[-50.61666667,64.86666667],[-50.61666667,64.85],[-50.56666667,64.85],[-50.56666667,64.73333333],[-50.65,64.73333333],[-50.65,64.76666667],[-50.75,64.76666667],[-50.75,64.78333333],[-50.7,64.78333333],[-50.7,64.81666667],[-50.71666667,64.81666667],[-50.71666667,64.83333333],[-50.78333333,64.83333333],[-50.78333333,64.85],[-50.73333333,64.85],[-50.73333333,64.91666667],[-50.71666667,64.91666667],[-50.71666667,64.95]]]]}"
MEL 2026-02,196366,Mineral Exploration Licence (MEL),Active License,Wally John Resources Greenland,2026-01-01,2030-12-31,84.41,MEL 2026-02,M-MLSA-459,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.26666667,61.1],[-45.23333333,61.1],[-45.23333333,61.08333333],[-45.18333333,61.08333333],[-45.18333333,61.1],[-45.01666667,61.1],[-45.01666667,61.11666667],[-44.9,61.11666667],[-44.9,61.15],[-44.85,61.15],[-44.85,61.16666667],[-44.81666667,61.16666667],[-44.81666667,61.13333333],[-44.85,61.13333333],[-44.85,61.11666667],[-44.86666667,61.11666667],[-44.86666667,61.1],[-44.95,61.1],[-44.95,61.08333333],[-45,61.08333333],[-45,61.06666667],[-45.26666667,61.06666667],[-45.26666667,61.1],[-45.26666667,61.1]]]]}"
MEL 2022-03,158166,Mineral Exploration Licence (MEL),Active License,Greenroc Graphite Limited,2022-03-21,2026-12-31,114.01,MEL 2022-03,M-MLSA-315,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.23333333,60.21666667],[-45.2,60.21666667],[-45.2,60.2],[-45.1,60.2],[-45.1,60.15],[-45.13333333,60.15],[-45.13333333,60.11666667],[-45.25,60.11666667],[-45.25,60.1],[-45.33333333,60.1],[-45.33333333,60.16666667],[-45.3,60.16666667],[-45.3,60.18333333],[-45.25,60.18333333],[-45.25,60.16666667],[-45.26666667,60.16666667],[-45.26666667,60.13333333],[-45.21666667,60.13333333],[-45.21666667,60.18333333],[-45.23333333,60.18333333],[-45.23333333,60.21666667]]],[[[-45,60.43333333],[-44.95,60.43333333],[-44.95,60.38333333],[-45,60.38333333],[-45,60.43333333]]],[[[-45.1,60.16666667],[-44.9,60.16666667],[-44.9,60.11666667],[-45.1,60.11666667],[-45.1,60.16666667],[-45.1,60.16666667]]]]}"
MEL 2007-01,504,Mineral Exploration Licence (MEL),Active License,Major Precious Greenland A/S,2007-01-01,2027-12-31,107,MEL 2007-01,M-3,"{""type"":""MultiPolygon"",""coordinates"":[[[[-31.78333333,68.23333333],[-31.58333333,68.23333333],[-31.58333333,68.21666667],[-31.51666667,68.21666667],[-31.51666667,68.18333333],[-31.5,68.18333333],[-31.5,68.15],[-31.56666667,68.15],[-31.56666667,68.13333333],[-31.65,68.13333333],[-31.65,68.11666667],[-31.78333333,68.11666667],[-31.78333333,68.23333333]]]]}"
MEL 2017-29,762,Mineral Exploration Licence (MEL),Active License,White Eagle Resources Limited,2017-07-29,2028-12-31,60.15,MEL 2017-29,M-45,"{""type"":""MultiPolygon"",""coordinates"":[[[[-71.3,76.98333333],[-70.96666667,76.98333333],[-70.96666667,76.96666667],[-70.88333333,76.96666667],[-70.88333333,76.95],[-70.63333333,76.95],[-70.63333333,76.91666667],[-70.76666667,76.91666667],[-70.76666667,76.9],[-70.86666667,76.9],[-70.86666667,76.88333333],[-70.78333333,76.88333333],[-70.78333333,76.86666667],[-70.73333333,76.86666667],[-70.73333333,76.85],[-70.66666667,76.85],[-70.66666667,76.83333333],[-70.61666667,76.83333333],[-70.61666667,76.81666667],[-70.51666667,76.81666667],[-70.51666667,76.78333333],[-70.58333333,76.78333333],[-70.58333333,76.80444444],[-70.71666667,76.80444444],[-70.71666667,76.81666667],[-70.83333333,76.81666667],[-70.83333333,76.85],[-70.96666667,76.85],[-70.96666667,76.88333333],[-71.05,76.88333333],[-71.05,76.91666667],[-71.16666667,76.91666667],[-71.16666667,76.95],[-71.28,76.97],[-71.3,76.98333333]]]]}"
MEL 2024-24,183548,Mineral Exploration Licence (MEL),Active License,Zawar Greenland ApS,2024-03-21,2028-12-31,81.21,MEL 2024-24,M-388,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.96666667,76.38333333],[-68.77916667,76.38333333],[-68.77916667,76.37916667],[-68.76666667,76.37916667],[-68.76666667,76.35],[-68.96666667,76.35],[-68.96666667,76.38333333]]],[[[-69.23333333,76.31666667],[-68.9,76.31666667],[-68.9,76.3],[-68.71666667,76.3],[-68.71666667,76.28333333],[-69.13333333,76.28333333],[-69.13333333,76.3],[-69.23333333,76.3],[-69.23333333,76.31666667]]],[[[-67.91666667,76.26666667],[-67.78333333,76.26666667],[-67.78333333,76.25],[-67.7,76.25],[-67.7,76.21666667],[-67.75,76.21666667],[-67.75,76.23333333],[-67.91666667,76.23333333],[-67.91666667,76.26666667]]],[[[-67.26666667,76.28333333],[-67.16666667,76.28333333],[-67.16666667,76.26666667],[-67.26666667,76.26666667],[-67.26666667,76.28333333]]]]}"
MEL 2012-25,607,Mineral Exploration Licence (MEL),Active License,Major Precious Greenland A/S,2012-01-01,2026-12-31,16,MEL 2012-25,M-22,"{""type"":""MultiPolygon"",""coordinates"":[[[[-31.41666667,68.21666667],[-31.36666667,68.21666667],[-31.36666667,68.2],[-31.31666667,68.2],[-31.31666667,68.16666667],[-31.4,68.16666667],[-31.4,68.2],[-31.41666667,68.2],[-31.41666667,68.21666667],[-31.41666667,68.21666667]]]]}"
MEL 2020-03,11037,Mineral Exploration Licence (MEL),Active License,Disko Exploration Ltd.,2020-04-14,2026-12-31,920.16,MEL 2020-03,M-99,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.63333333,60.38333333],[-44.6,60.38333333],[-44.31666667,60.4],[-44.26666667,60.38333333],[-44.26666667,60.31666667],[-44.25,60.31666667],[-44.25,60.3],[-44.23333333,60.3],[-44.23333333,60.26666667],[-44.21666667,60.26666667],[-44.21666667,60.21666667],[-44.26666667,60.21666667],[-44.26666667,60.16666667],[-44.3,60.16666667],[-44.3,60.13333333],[-44.41666667,60.13333333],[-44.41666667,60.15],[-44.55,60.15],[-44.55,60.23333333],[-44.46666667,60.23333333],[-44.48333333,60.25],[-44.45,60.28333333],[-44.45,60.3],[-44.43333333,60.3],[-44.43333333,60.31666667],[-44.41666667,60.31666667],[-44.41666667,60.33333333],[-44.4,60.33333333],[-44.4,60.35],[-44.55,60.28333333],[-44.71666667,60.28333333],[-44.7,60.33333333],[-44.63333333,60.36666667],[-44.63333333,60.38333333]]]]}"
MEL 2024-31,180801,Mineral Exploration Licence (MEL),Active License,Navella AB Greenland,2024-03-18,2028-12-31,17.848,MEL 2024-31,M-375,"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.28333333,63.51666667],[-51.2,63.5],[-51.2,63.48333333],[-51.28333333,63.5],[-51.28333333,63.51666667]]],[[[-51.18333333,63.45],[-51.1,63.43333333],[-51.13333333,63.41666667],[-51.2,63.41666667],[-51.25,63.41666667],[-51.25,63.43333333],[-51.18333333,63.43333333],[-51.18333333,63.45]]]]}"
